
Epoch 1/15 | LR: 0.001000
--------------------------------------------------
  batch 1000 | loss: 0.6357 | acc: 0.6250
  batch 1050 | loss: 0.5197 | acc: 0.7500
  batch 1100 | loss: 0.3649 | acc: 1.0000
  batch 1150 | loss: 0.7005 | acc: 0.8750
  batch 1200 | loss: 0.6427 | acc: 0.6250
  batch 1250 | loss: 0.5141 | acc: 0.7500
  batch 1300 | loss: 0.6134 | acc: 0.6250
  batch 1350 | loss: 0.7253 | acc: 0.3750
  batch 1400 | loss: 0.7785 | acc: 0.6250
  batch 1450 | loss: 0.4024 | acc: 0.8750
  batch 1500 | loss: 0.5062 | acc: 0.7500
  batch 1550 | loss: 0.5647 | acc: 0.7500
  batch 1600 | loss: 0.5661 | acc: 0.6250
  batch 1650 | loss: 0.5346 | acc: 0.5000
  batch 1700 | loss: 0.5397 | acc: 0.6250
  batch 1750 | loss: 0.4035 | acc: 0.8750
  batch 1800 | loss: 0.7298 | acc: 0.6250
  batch 1850 | loss: 0.7301 | acc: 0.5000
  batch 1900 | loss: 0.7244 | acc: 0.7500
  batch 1950 | loss: 0.4727 | acc: 0.7500
  batch 2000 | loss: 0.7449 | acc: 0.6250
  batch 2050 | loss: 0.8488 | acc: 0.5000
  batch 2100 | loss: 0.7650 | acc: 0.3750
  batch 2150 | loss: 0.7094 | acc: 0.5000
  batch 2200 | loss: 0.6478 | acc: 0.6250
  batch 2250 | loss: 0.5264 | acc: 0.6250
  batch 2300 | loss: 0.7678 | acc: 0.5000
  batch 2350 | loss: 0.8803 | acc: 0.3750
  batch 2400 | loss: 0.3733 | acc: 0.8750
  batch 2450 | loss: 0.9012 | acc: 0.3750
  batch 2500 | loss: 0.7428 | acc: 0.5000
  batch 2550 | loss: 0.9231 | acc: 0.2500
  batch 2600 | loss: 0.6153 | acc: 0.7500
  batch 2650 | loss: 0.6743 | acc: 0.5000
  batch 2700 | loss: 0.7299 | acc: 0.6250
  batch 2750 | loss: 0.9190 | acc: 0.2500
  batch 2800 | loss: 0.5731 | acc: 0.5000
  batch 2850 | loss: 0.5893 | acc: 0.7500
  batch 2900 | loss: 0.6879 | acc: 0.6250
  batch 2950 | loss: 0.7707 | acc: 0.5000
  batch 3000 | loss: 1.0057 | acc: 0.3750
  batch 3050 | loss: 0.7689 | acc: 0.3750
  batch 3100 | loss: 0.5007 | acc: 0.8750
  batch 3150 | loss: 0.6436 | acc: 0.5000
  batch 3200 | loss: 0.5721 | acc: 0.7500
  batch 3250 | loss: 0.5832 | acc: 0.6250
  batch 3300 | loss: 0.5308 | acc: 0.7500
  batch 3350 | loss: 0.7195 | acc: 0.5000
  batch 3400 | loss: 0.5861 | acc: 0.7500
  batch 3450 | loss: 0.5886 | acc: 0.5000
  batch 3500 | loss: 0.6393 | acc: 0.5000
  batch 3550 | loss: 0.8044 | acc: 0.3750
  batch 3600 | loss: 0.4010 | acc: 0.8750
  batch 3650 | loss: 0.4398 | acc: 0.8750
  batch 3700 | loss: 0.5202 | acc: 0.7500
  batch 3750 | loss: 0.6878 | acc: 0.5000
